n,escenario,objetivo,algoritmo,repeticion,posicion,comparaciones,tiempo_ns
100,inicio,17850.0,Lineal,1,0,1,5900
100,inicio,17850.0,Lineal,2,0,1,2400
100,inicio,17850.0,Lineal,3,0,1,600
100,inicio,17850.0,Lineal,4,0,1,400
100,inicio,17850.0,Lineal,5,0,1,300
100,inicio,17850.0,Lineal,6,0,1,300
100,inicio,17850.0,Lineal,7,0,1,400
100,inicio,17850.0,Lineal,8,0,1,200
100,inicio,17850.0,Lineal,9,0,1,300
100,inicio,17850.0,Lineal,10,0,1,300
100,inicio,17850.0,Lineal,11,0,1,300
100,inicio,17850.0,Lineal,12,0,1,200
100,inicio,17850.0,Lineal,13,0,1,200
100,inicio,17850.0,Lineal,14,0,1,300
100,inicio,17850.0,Lineal,15,0,1,300
100,inicio,17850.0,Lineal,16,0,1,300
100,inicio,17850.0,Lineal,17,0,1,300
100,inicio,17850.0,Lineal,18,0,1,300
100,inicio,17850.0,Lineal,19,0,1,300
100,inicio,17850.0,Lineal,20,0,1,300
100,inicio,17850.0,Lineal,21,0,1,200
100,inicio,17850.0,Lineal,22,0,1,200
100,inicio,17850.0,Lineal,23,0,1,200
100,inicio,17850.0,Lineal,24,0,1,300
100,inicio,17850.0,Lineal,25,0,1,200
100,inicio,17850.0,Lineal,26,0,1,400
100,inicio,17850.0,Lineal,27,0,1,400
100,inicio,17850.0,Lineal,28,0,1,300
100,inicio,17850.0,Lineal,29,0,1,200
100,inicio,17850.0,Lineal,30,0,1,300
100,inicio,17850.0,Binaria,1,74,2,2500
100,inicio,17850.0,Binaria,2,74,2,1000
100,inicio,17850.0,Binaria,3,74,2,600
100,inicio,17850.0,Binaria,4,74,2,300
100,inicio,17850.0,Binaria,5,74,2,300
100,inicio,17850.0,Binaria,6,74,2,300
100,inicio,17850.0,Binaria,7,74,2,300
100,inicio,17850.0,Binaria,8,74,2,300
100,inicio,17850.0,Binaria,9,74,2,300
100,inicio,17850.0,Binaria,10,74,2,300
100,inicio,17850.0,Binaria,11,74,2,300
100,inicio,17850.0,Binaria,12,74,2,300
100,inicio,17850.0,Binaria,13,74,2,300
100,inicio,17850.0,Binaria,14,74,2,400
100,inicio,17850.0,Binaria,15,74,2,300
100,inicio,17850.0,Binaria,16,74,2,300
100,inicio,17850.0,Binaria,17,74,2,300
100,inicio,17850.0,Binaria,18,74,2,300
100,inicio,17850.0,Binaria,19,74,2,300
100,inicio,17850.0,Binaria,20,74,2,300
100,inicio,17850.0,Binaria,21,74,2,300
100,inicio,17850.0,Binaria,22,74,2,300
100,inicio,17850.0,Binaria,23,74,2,300
100,inicio,17850.0,Binaria,24,74,2,300
100,inicio,17850.0,Binaria,25,74,2,200
100,inicio,17850.0,Binaria,26,74,2,300
100,inicio,17850.0,Binaria,27,74,2,300
100,inicio,17850.0,Binaria,28,74,2,300
100,inicio,17850.0,Binaria,29,74,2,300
100,inicio,17850.0,Binaria,30,74,2,300
100,centro,17850.0,Lineal,1,0,1,3100
100,centro,17850.0,Lineal,2,0,1,900
100,centro,17850.0,Lineal,3,0,1,500
100,centro,17850.0,Lineal,4,0,1,400
100,centro,17850.0,Lineal,5,0,1,300
100,centro,17850.0,Lineal,6,0,1,400
100,centro,17850.0,Lineal,7,0,1,400
100,centro,17850.0,Lineal,8,0,1,400
100,centro,17850.0,Lineal,9,0,1,400
100,centro,17850.0,Lineal,10,0,1,400
100,centro,17850.0,Lineal,11,0,1,400
100,centro,17850.0,Lineal,12,0,1,400
100,centro,17850.0,Lineal,13,0,1,400
100,centro,17850.0,Lineal,14,0,1,300
100,centro,17850.0,Lineal,15,0,1,400
100,centro,17850.0,Lineal,16,0,1,400
100,centro,17850.0,Lineal,17,0,1,300
100,centro,17850.0,Lineal,18,0,1,400
100,centro,17850.0,Lineal,19,0,1,400
100,centro,17850.0,Lineal,20,0,1,300
100,centro,17850.0,Lineal,21,0,1,400
100,centro,17850.0,Lineal,22,0,1,400
100,centro,17850.0,Lineal,23,0,1,300
100,centro,17850.0,Lineal,24,0,1,400
100,centro,17850.0,Lineal,25,0,1,400
100,centro,17850.0,Lineal,26,0,1,400
100,centro,17850.0,Lineal,27,0,1,400
100,centro,17850.0,Lineal,28,0,1,500
100,centro,17850.0,Lineal,29,0,1,400
100,centro,17850.0,Lineal,30,0,1,400
100,centro,17850.0,Binaria,1,74,2,1400
