n,escenario,objetivo,algoritmo,promedio_tiempo_ns,mediana_tiempo_ns,minimo_tiempo_ns,maximo_tiempo_ns,promedio_comparaciones,mediana_comparaciones,minimo_comparaciones,maximo_comparaciones,tiempo_ordenamiento_ns
100,inicio,17850.0,Lineal,553.3333333333334,300.0,200,5900,1,1.0,1,1,0
100,inicio,17850.0,Binaria,406.6666666666667,300.0,200,2500,2,2.0,2,2,6000
100,centro,17850.0,Lineal,496.6666666666667,400.0,300,3100,1,1.0,1,1,0
100,centro,17850.0,Binaria,460.0,400.0,400,1400,2,2.0,2,2,6000
100,final,14688.0,Lineal,3976.6666666666665,3800.0,2800,7700,87,87.0,87,87,0
100,final,14688.0,Binaria,286.6666666666667,300.0,200,1000,1,1.0,1,1,6000
100,ausente,18288.0,Lineal,3370.0,3200.0,3100,5500,100,100.0,100,100,0
100,ausente,18288.0,Binaria,946.6666666666666,900.0,800,1900,7,7.0,7,7,6000
1000,inicio,17850.0,Lineal,353.3333333333333,300.0,200,2400,1,1.0,1,1,0
1000,inicio,17850.0,Binaria,650.0,550.0,400,2400,4,4.0,4,4,30100
1000,centro,17908.0,Lineal,24900.0,28000.0,15800,32100,484,484.0,484,484,0
1000,centro,17908.0,Binaria,420.0,400.0,300,1600,2,2.0,2,2,30100
1000,final,14729.0,Lineal,34696.666666666664,34500.0,33100,37700,945,945.0,945,945,0
1000,final,14729.0,Binaria,583.3333333333334,500.0,400,1800,4,4.0,4,4,30100
1000,ausente,18288.0,Lineal,35936.666666666664,35650.0,34300,40700,1000,1000.0,1000,1000,0
1000,ausente,18288.0,Binaria,1146.6666666666667,1100.0,1000,2600,10,10.0,10,10,30100
10000,inicio,17850.0,Lineal,376.6666666666667,300.0,200,3100,1,1.0,1,1,0
10000,inicio,17850.0,Binaria,546.6666666666666,500.0,400,2300,3,3.0,3,3,259500
10000,centro,12395.0,Lineal,189796.66666666666,189750.0,180200,199000,4994,4994.0,4994,4994,0
10000,centro,12395.0,Binaria,1116.6666666666667,1000.0,900,3600,10,10.0,10,10,259500
10000,final,17735.0,Lineal,388883.3333333333,382400.0,370500,453400,9994,9994.0,9994,9994,0
10000,final,17735.0,Binaria,1220.0,1100.0,1000,3200,10,10.0,10,10,259500
10000,ausente,18288.0,Lineal,382213.3333333333,378100.0,364100,424100,10000,10000.0,10000,10000,0
10000,ausente,18288.0,Binaria,1516.6666666666667,1400.0,1300,3900,14,14.0,14,14,259500
100000,inicio,17850.0,Lineal,486.6666666666667,300.0,200,5100,1,1.0,1,1,0
100000,inicio,17850.0,Binaria,1023.3333333333334,900.0,800,2900,8,8.0,8,8,3409000
100000,centro,16161.0,Lineal,320276.6666666667,306350.0,291200,444400,7913,7913.0,7913,7913,0
100000,centro,16161.0,Binaria,1103.3333333333333,900.0,900,5100,8,8.0,8,8,3409000
100000,final,18044.0,Lineal,764996.6666666666,748100.0,724300,975600,19629,19629.0,19629,19629,0
100000,final,18044.0,Binaria,1380.0,1300.0,1100,4400,11,11.0,11,11,3409000
100000,ausente,18288.0,Lineal,3894070.0,3877550.0,3771900,4189200,100000,100000.0,100000,100000,0
100000,ausente,18288.0,Binaria,1870.0,1700.0,1600,6000,17,17.0,17,17,3409000
